TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:24:25:945; 9.009200; 8.935300; 234.135500; 
2023.10.20_16:24:26:045; 8.719300; 8.689300; 234.245400; 
2023.10.20_16:24:26:145; 8.867000; 8.626400; 234.179500; 
2023.10.20_16:24:26:245; 9.031000; 8.394000; 234.860600; 
2023.10.20_16:24:26:345; 8.995500; 8.440400; 234.860600; 
2023.10.20_16:24:26:445; 9.195100; 8.593600; 234.838700; 
2023.10.20_16:24:26:545; 8.867000; 8.793200; 234.882600; 
2023.10.20_16:24:26:645; 8.875200; 8.711100; 235.959400; 
2023.10.20_16:24:26:745; 8.828700; 8.913500; 235.959400; 
2023.10.20_16:24:26:845; 8.987300; 8.828700; 235.915400; 
2023.10.20_16:24:26:945; 8.765800; 9.028300; 235.981300; 
2023.10.20_16:24:27:045; 9.025600; 8.913500; 236.728400; 
2023.10.20_16:24:27:145; 8.834200; 9.137700; 236.772400; 
2023.10.20_16:24:27:245; 8.850600; 9.014600; 236.750400; 
2023.10.20_16:24:27:345; 8.645500; 9.222500; 236.750400; 
2023.10.20_16:24:27:445; 8.719300; 9.197800; 226.598400; 
2023.10.20_16:24:27:545; 8.571700; 9.517800; 228.070700; 
2023.10.20_16:24:27:645; 8.667400; 9.501300; 227.872900; 
2023.10.20_16:24:27:745; 8.549800; 9.750200; 227.916900; 
2023.10.20_16:24:27:845; 8.637300; 9.624400; 237.321700; 
2023.10.20_16:24:27:945; 8.402200; 9.610700; 236.596600; 
2023.10.20_16:24:28:045; 8.517000; 9.750200; 236.574600; 
2023.10.20_16:24:28:145; 8.361100; 9.802100; 236.552600; 
2023.10.20_16:24:28:245; 8.514300; 9.958000; 235.563800; 
2023.10.20_16:24:28:345; 8.642800; 9.903300; 232.729200; 
2023.10.20_16:24:28:445; 8.743900; 9.722800; 232.399600; 
2023.10.20_16:24:28:545; 8.653700; 10.092000; 232.421500; 
2023.10.20_16:24:28:645; 8.785000; 9.974400; 232.399600; 
2023.10.20_16:24:28:745; 8.774000; 10.050900; 233.652100; 
2023.10.20_16:24:28:845; 8.590800; 9.815800; 233.652100; 
2023.10.20_16:24:28:945; 8.536100; 9.933400; 233.630100; 
2023.10.20_16:24:29:045; 8.661900; 9.484900; 233.652100; 
2023.10.20_16:24:29:145; 8.648200; 9.490400; 233.168700; 
2023.10.20_16:24:29:245; 8.867000; 9.561500; 233.168700; 
2023.10.20_16:24:29:345; 8.664700; 9.392000; 233.168700; 
2023.10.20_16:24:29:445; 8.511500; 9.452100; 233.168700; 
2023.10.20_16:24:29:545; 8.476000; 9.433000; 224.686700; 
2023.10.20_16:24:29:645; 8.301000; 9.490400; 224.994300; 
2023.10.20_16:24:29:745; 8.136900; 9.553300; 224.950400; 
2023.10.20_16:24:29:845; 8.000200; 9.547800; 224.994300; 
2023.10.20_16:24:29:945; 8.046700; 9.438500; 225.104200; 
2023.10.20_16:24:30:045; 7.951000; 9.597000; 225.148100; 
2023.10.20_16:24:30:145; 8.191600; 9.337300; 225.126200; 
2023.10.20_16:24:30:245; 8.363900; 9.359200; 225.126200; 
2023.10.20_16:24:30:345; 8.262700; 9.093900; 225.609600; 
