TimeStamp_UTC; mm_ws_110m[m/s]; mm_ws_60m[m/s]; mm_wd_110m[deg]; 
2023.10.20_16:36:29:545; 8.601800; 8.459600; 229.147400; 
2023.10.20_16:36:29:645; 8.410400; 8.418600; 232.948900; 
2023.10.20_16:36:29:745; 8.651000; 8.333800; 234.289300; 
2023.10.20_16:36:29:845; 8.604500; 8.599000; 234.399200; 
2023.10.20_16:36:29:945; 8.678300; 8.276400; 234.443100; 
2023.10.20_16:36:30:045; 8.648200; 8.126000; 234.772800; 
2023.10.20_16:36:30:145; 8.670100; 8.109600; 240.837600; 
2023.10.20_16:36:30:245; 8.683800; 8.153300; 240.398100; 
2023.10.20_16:36:30:345; 8.661900; 7.795100; 240.595900; 
2023.10.20_16:36:30:445; 8.604500; 7.869000; 240.551900; 
2023.10.20_16:36:30:545; 8.735700; 7.699400; 241.167200; 
2023.10.20_16:36:30:645; 8.672900; 7.841600; 241.145200; 
2023.10.20_16:36:30:745; 8.771300; 7.934600; 241.189200; 
2023.10.20_16:36:30:845; 8.692000; 7.461600; 241.167200; 
2023.10.20_16:36:30:945; 8.867000; 7.415100; 240.464000; 
2023.10.20_16:36:31:045; 8.850600; 7.453400; 240.551900; 
2023.10.20_16:36:31:145; 8.987300; 7.491600; 240.551900; 
2023.10.20_16:36:31:245; 8.713900; 7.387700; 240.551900; 
2023.10.20_16:36:31:345; 8.960000; 7.426000; 239.804800; 
2023.10.20_16:36:31:445; 8.620900; 7.368600; 239.892700; 
2023.10.20_16:36:31:545; 8.836900; 7.144400; 239.870700; 
2023.10.20_16:36:31:645; 8.374800; 6.972100; 239.870700; 
2023.10.20_16:36:31:745; 8.713900; 6.991300; 239.387300; 
2023.10.20_16:36:31:845; 8.470500; 7.237300; 238.750000; 
2023.10.20_16:36:31:945; 8.730300; 7.694000; 238.706100; 
2023.10.20_16:36:32:045; 8.448600; 7.327600; 238.706100; 
2023.10.20_16:36:32:145; 8.634600; 7.453400; 238.310600; 
2023.10.20_16:36:32:245; 8.511500; 7.532700; 237.189900; 
2023.10.20_16:36:32:345; 8.577200; 7.472500; 237.211900; 
2023.10.20_16:36:32:445; 8.563500; 7.379500; 237.211900; 
2023.10.20_16:36:32:545; 8.497900; 7.543600; 237.211900; 
2023.10.20_16:36:32:645; 8.361100; 7.937300; 236.420800; 
2023.10.20_16:36:32:745; 8.620900; 7.685800; 236.420800; 
2023.10.20_16:36:32:845; 8.486900; 7.931900; 236.442800; 
2023.10.20_16:36:32:945; 8.352900; 7.956500; 236.420800; 
2023.10.20_16:36:33:045; 8.363900; 7.994700; 235.937400; 
2023.10.20_16:36:33:145; 8.235400; 8.063100; 235.959400; 
2023.10.20_16:36:33:245; 8.339300; 8.068600; 235.937400; 
2023.10.20_16:36:33:345; 8.063100; 7.934600; 235.937400; 
2023.10.20_16:36:33:445; 8.481500; 8.101400; 233.608100; 
2023.10.20_16:36:33:545; 8.486900; 7.844400; 233.454300; 
2023.10.20_16:36:33:645; 8.486900; 7.863500; 233.388400; 
2023.10.20_16:36:33:745; 8.924400; 8.342000; 233.344400; 
2023.10.20_16:36:33:845; 8.782200; 8.022100; 234.377200; 
2023.10.20_16:36:33:945; 9.173200; 8.243600; 238.332500; 
2023.10.20_16:36:34:045; 8.743900; 8.314700; 238.200700; 
2023.10.20_16:36:34:145; 9.129500; 8.700200; 238.134800; 
2023.10.20_16:36:34:245; 8.929900; 8.607200; 237.937000; 
2023.10.20_16:36:34:345; 8.856100; 8.588100; 236.530700; 
2023.10.20_16:36:34:445; 9.036500; 8.645500; 236.530700; 
2023.10.20_16:36:34:545; 8.856100; 8.661900; 236.574600; 
2023.10.20_16:36:34:645; 9.178700; 8.831400; 236.596600; 
2023.10.20_16:36:34:745; 8.965400; 9.036500; 238.222700; 
2023.10.20_16:36:34:845; 9.011900; 9.072100; 238.310600; 
2023.10.20_16:36:34:945; 8.883400; 9.093900; 238.288600; 
2023.10.20_16:36:35:045; 8.727500; 8.981800; 238.310600; 
2023.10.20_16:36:35:145; 8.426800; 9.249800; 240.683800; 
2023.10.20_16:36:35:245; 8.590800; 9.148600; 240.881500; 
2023.10.20_16:36:35:345; 8.295500; 9.613500; 240.881500; 
2023.10.20_16:36:35:445; 8.664700; 9.121300; 240.925500; 
2023.10.20_16:36:35:545; 8.533400; 9.036500; 241.321000; 
2023.10.20_16:36:35:645; 8.823200; 9.351000; 241.299000; 
2023.10.20_16:36:35:745; 8.820500; 8.979100; 241.277100; 
2023.10.20_16:36:35:845; 9.260700; 9.132200; 241.277100; 
2023.10.20_16:36:35:945; 9.121300; 8.801400; 239.694900; 
2023.10.20_16:36:36:045; 9.173200; 8.913500; 239.167600; 
2023.10.20_16:36:36:145; 8.891600; 8.506100; 239.101600; 
2023.10.20_16:36:36:245; 8.940800; 8.497900; 239.079700; 
2023.10.20_16:36:36:345; 8.774000; 8.265400; 239.013700; 
2023.10.20_16:36:36:445; 8.754900; 8.410400; 237.519500; 
2023.10.20_16:36:36:545; 8.795900; 8.011200; 237.541500; 
2023.10.20_16:36:36:645; 8.738500; 8.191600; 237.563400; 
2023.10.20_16:36:36:745; 8.522500; 8.525200; 237.607400; 
2023.10.20_16:36:36:845; 8.694700; 8.205300; 240.288200; 
2023.10.20_16:36:36:945; 8.511500; 8.342000; 239.914700; 
2023.10.20_16:36:37:045; 8.683800; 8.074000; 240.002600; 
2023.10.20_16:36:37:145; 8.651000; 8.027600; 239.980600; 
2023.10.20_16:36:37:245; 8.743900; 7.879900; 241.123200; 
2023.10.20_16:36:37:345; 8.962700; 7.978300; 241.211100; 
2023.10.20_16:36:37:445; 8.601800; 7.817000; 241.189200; 
2023.10.20_16:36:37:545; 9.058400; 7.981100; 241.167200; 
2023.10.20_16:36:37:645; 8.527900; 7.674800; 238.288600; 
2023.10.20_16:36:37:745; 8.631800; 8.003000; 237.453600; 
2023.10.20_16:36:37:845; 8.522500; 8.306500; 237.299800; 
2023.10.20_16:36:37:945; 8.574400; 7.849800; 237.299800; 
2023.10.20_16:36:38:045; 8.678300; 8.352900; 239.475200; 
2023.10.20_16:36:38:145; 8.489700; 7.953700; 239.233500; 
2023.10.20_16:36:38:245; 8.615400; 8.063100; 239.211500; 
2023.10.20_16:36:38:345; 9.055700; 7.811500; 239.211500; 
2023.10.20_16:36:38:445; 8.702900; 7.576400; 237.849100; 
2023.10.20_16:36:38:545; 9.173200; 7.650200; 236.662500; 
2023.10.20_16:36:38:645; 8.566200; 7.691200; 236.596600; 
2023.10.20_16:36:38:745; 8.610000; 7.822500; 236.552600; 
2023.10.20_16:36:38:845; 8.306500; 7.502600; 236.574600; 
2023.10.20_16:36:38:945; 8.506100; 7.590100; 240.002600; 
2023.10.20_16:36:39:045; 8.301000; 7.486200; 239.870700; 
2023.10.20_16:36:39:145; 8.227200; 7.319400; 239.936600; 
2023.10.20_16:36:39:245; 8.071300; 7.117000; 239.914700; 
2023.10.20_16:36:39:345; 8.153300; 7.147100; 242.419700; 
2023.10.20_16:36:39:445; 8.175200; 7.070600; 242.419700; 
2023.10.20_16:36:39:545; 7.992000; 7.308400; 242.375800; 
2023.10.20_16:36:39:645; 8.309200; 7.606500; 242.375800; 
2023.10.20_16:36:39:745; 8.219000; 7.423300; 244.309500; 
2023.10.20_16:36:39:845; 8.388500; 7.319400; 244.133700; 
2023.10.20_16:36:39:945; 8.177900; 7.256500; 244.155700; 
2023.10.20_16:36:40:045; 8.254500; 7.510800; 244.177600; 
2023.10.20_16:36:40:145; 8.448600; 7.776000; 240.464000; 
2023.10.20_16:36:40:245; 8.661900; 7.467000; 240.420100; 
2023.10.20_16:36:40:345; 8.733000; 7.494400; 240.332200; 
2023.10.20_16:36:40:445; 8.850600; 7.631100; 240.310200; 
2023.10.20_16:36:40:545; 9.009200; 7.598300; 241.430900; 
2023.10.20_16:36:40:645; 8.891600; 7.562700; 244.485300; 
2023.10.20_16:36:40:745; 8.897100; 7.658400; 244.397400; 
